Amanda,35,75,4789,most attractive,desperate,S
Guliston,85,58,4009,most intelligent,normal,S
Nina,28,63,1123,most rich,desperate,S
Veronica,21,58,1988,most rich,choosy,S
Sansa,98,63,4195,most intelligent,normal,S
Anjali,16,78,1667,most intelligent,normal,S
Pooja,50,93,502,most attractive,choosy,S
Ankita,86,100,4369,most intelligent,normal,S
Neha,89,55,1257,most rich,choosy,S
Anny,26,70,4417,most intelligent,choosy,S
Ozge,49,99,2597,most rich,normal,S
Ecenaz,72,75,2840,most intelligent,choosy,S
Jesse,55,69,1116,most rich,desperate,S
