Amanda,53,51,2698,most rich,desperate,S
Guliston,38,48,3021,most attractive,desperate,S
Nina,43,75,1030,most intelligent,choosy,S
Veronica,62,78,2789,most attractive,choosy,S
Sansa,19,71,501,most attractive,choosy,S
Anjali,13,43,4467,most intelligent,choosy,S
Pooja,51,41,2597,most attractive,choosy,S
Ankita,57,73,849,most rich,desperate,S
Neha,24,91,4430,most rich,desperate,S
Anny,52,94,1286,most rich,desperate,S
Ozge,63,65,2683,most rich,choosy,S
Ecenaz,13,47,1833,most intelligent,normal,S
Jesse,86,78,2041,most intelligent,choosy,S
