Amanda,57,45,3744,most intelligent,choosy,S
Guliston,58,52,281,most attractive,desperate,S
Nina,29,98,4556,most rich,choosy,S
Veronica,76,57,548,most attractive,normal,S
Sansa,94,76,2743,most rich,choosy,S
Anjali,62,80,1239,most rich,normal,S
Pooja,61,50,3508,most rich,desperate,S
Ankita,21,64,2236,most attractive,normal,S
Neha,10,57,4494,most attractive,normal,S
Anny,44,96,1194,most attractive,desperate,S
Ozge,69,49,4438,most attractive,normal,S
Ecenaz,50,90,2422,most intelligent,desperate,S
Jesse,79,50,2278,most attractive,normal,S
