Amanda,79,75,3515,most rich,normal,S
Guliston,14,26,353,most intelligent,choosy,S
Nina,81,83,1267,most intelligent,normal,S
Veronica,95,54,3699,most intelligent,choosy,S
Sansa,45,86,2188,most rich,normal,S
Anjali,12,71,1708,most rich,normal,S
Pooja,67,29,4721,most rich,normal,S
Ankita,21,43,75,most attractive,normal,S
Neha,47,99,4720,most attractive,normal,S
Anny,36,87,973,most rich,choosy,S
Ozge,45,71,2290,most attractive,choosy,S
Ecenaz,43,82,3140,most intelligent,normal,S
Jesse,95,49,3294,most intelligent,desperate,S
