Amanda,58,84,2543,most rich,desperate,S
Guliston,24,95,3125,most intelligent,choosy,S
Nina,19,62,2006,most rich,choosy,S
Veronica,63,87,3630,most intelligent,choosy,S
Sansa,25,90,405,most intelligent,choosy,S
Anjali,51,26,3705,most rich,choosy,S
Pooja,74,82,2183,most rich,normal,S
Ankita,97,56,4973,most intelligent,desperate,S
Neha,69,68,3358,most rich,normal,S
Anny,68,86,4847,most intelligent,choosy,S
Ozge,32,63,824,most intelligent,choosy,S
Ecenaz,11,57,1932,most rich,normal,S
Jesse,19,59,3229,most rich,choosy,S
