Amanda,59,87,853,most attractive,normal,S
Guliston,83,62,718,most attractive,normal,S
Nina,17,90,3386,most rich,choosy,S
Veronica,30,99,2541,most rich,normal,S
Sansa,59,81,3380,most intelligent,choosy,S
Anjali,49,50,1620,most intelligent,choosy,S
Pooja,85,30,1136,most intelligent,choosy,S
Ankita,77,49,2767,most rich,choosy,S
Neha,49,39,1656,most intelligent,desperate,S
Anny,16,97,2874,most attractive,choosy,S
Ozge,29,74,2817,most intelligent,desperate,S
Ecenaz,55,44,3025,most attractive,desperate,S
Jesse,82,60,883,most intelligent,desperate,S
